 Date , Lecture Topic , Readings  , Homework 
"Tue, Jan-10", [Introduction](/slides/introduction.html) ,  ,[HW1](/homework/hw1) out
"Thu, Jan-12", [Linear least-squares](/notes/least-squares)  ,Sections 3.1--3.2 of [Beck][BeckLink]; [Least-squares notes](https://ubcmath.github.io/MATH307/orthogonality/least_squares.html) of UBC Math 307, 
"Tue, Jan-17", [QR Factorization](/notes/qr-factorization) , ,[HW1](/homework/hw1) due
"Thu, Jan-19", [Regularized least-squares](/notes/regularized-least-squares) , ,[HW2](/homework/hw2) out
"Tue, Jan-24", [Gradients](/notes/gradients) ,"Section 1.5.1 of [Beck][BeckLink]; Chapter 2 of [Kochenderfer and Wheeler][KochenderferLink]; [Automatic differentiation from scratch, in 10 lines of Julia](https://vladium.com/tutorials/study_julia_with_me/multiple_dispatch/)", 
"Thu, Jan-26", [Nonlinear least-squares](/notes/nonlinear-least-squares) ,Sections 3.5 and 4.5 of [Beck][BeckLink],[HW2](/homework/hw2) due
"Tue, Jan-31", Unconstrained optimization ,"Sections 4.1, 4.2, 4.4 of [Beck][BeckLink]",[HW3](/homework/hw3) out
"Thu, Feb-2", Unconstrained optimization (cont) , , 
"Tue, Feb-7"," [Descent methods](/notes/gradient-descent.pdf), [demo](/notes/gradient-descent) ",,[HW3](/homework/hw3) due
"Thu, Feb-9", [Scaled descent](/notes/scaled-and-newton-descent.pdf) ,Section 4.4 of [Beck][BeckLink],[HW4](/homework/hw4) out
"Tue, Feb-14","Descent, continued",Chapter 5 of [Beck][BeckLink], 
"Thu, Feb-16", Newton's method and Cholesky, ,[HW4](/homework/hw4) due
"Tue, Feb-21", Midterm break ,,
"Thu, Feb-23", Midterm break ,,
"Tue, Feb-28", [Linear constraints and reduced gradient](/notes/linear-constraints.pdf) , , 
"Thu, Mar-2", Midterm exam (in class) ,,
"Tue, Mar-7", [Convex sets](/notes/convex-sets.pdf) ,Sections 6.1—6.4 of [Beck][BeckLink],[HW5](/homework/hw5) out
"Thu, Mar-9", [Convex functions](/notes/convex-functions.pdf) ,Sections 7.1—7.6 of [Beck][BeckLink],
"Tue, Mar-14", [Convex optimality](/notes/normal-cone-optimality.pdf) , ,[HW5](/homework/hw5) due
"Thu, Mar-16", [Projected and proximal gradient](/notes/projection.pdf) , ,
"Tue, Mar-21", [Convergence gradient descent](/notes/convergence-gradient-descent.pdf) , ,HW6 out
"Thu, Mar-23", [Stochastic gradient descent](/notes/stochastic-gradient-descent.pdf) ,Sections 6.4 and 8.2 of [Beck][BeckLink],
"Tue, Mar-28", [LP intro](/notes/lin-prog-apps.pdf) and [geometry](/notes/lp-geometry.pdf) ,,HW6 due
"Thu, Mar-30", [LP standard form](/notes/lp-standard-form.pdf) , ,
"Tue, Apr-4","[LP simplex](/notes/lp-simplex.pdf), [LP simplex example](/notes/lp-simplex-example.pdf), [LP 2-sided bounds and phase 1](/notes/lp-simplex-bnds-2phase.pdf), [Demo](/notes/lp-jump)", ,HW7 out
"Thu, Apr-6"," [LP duality](/notes/lp-duality.pdf), [Demo](/notes/lp-duality) ",Section 12.3.1 of [Beck][BeckLink],
"Tue, Apr-11", [LP & QP interior method](/notes/lp-qp-barrier.pdf) , ,HW7 due
"Thu, Apr-13", [Matrix games](/notes/lp-games.pdf) , ,
"Fri, Apr-21","Final exam, 7pm", ,HW 8 out